client_code,name,product,benefit,confidence,cluster,push_notification
1.0,Айгерим,Кредитная карта,96455.064,0.91,2.0,"Айгерим, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 175,127 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 96,455 ₸/мес. Оформите карту онлайн за 3 минуты!"
2.0,Данияр,Премиальная карта,109560.3738,0.81,2.0,"Данияр, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 1,577,073 ₸, траты на люкс 0 ₸/мес (0.0% от всех трат). Премиальная карта с 3% кешбэком вернет вам 109,560 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
3.0,Сабина,Кредитная карта,84626.187,0.95,1.0,"Сабина, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 109,151 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 84,626 ₸/мес. Оформите карту онлайн за 3 минуты!"
4.0,Тимур,Кредитная карта,87539.785,1.0,2.0,"Тимур, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 169,399 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 87,540 ₸/мес. Оформите карту онлайн за 3 минуты!"
5.0,Камилла,Кредитная карта,115657.12100000001,0.9,2.0,"Камилла, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 180,244 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 115,657 ₸/мес. Оформите карту онлайн за 3 минуты!"
6.0,Аян,Кредитная карта,81243.379,0.92,2.0,"Аян, ИИ проанализировал ваши траты и обнаружил топ-категории: Такси, Отели, Путешествия. Вы тратите 178,017 ₸ в этих категориях! Кредитная карта с 10% кешбэком в любимых категориях вернет вам 81,243 ₸/мес. Оформите карту онлайн за 3 минуты!"
7.0,Руслан,Премиальная карта,133397.0085,0.94,0.0,"Руслан, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 4,040,997 ₸, траты на люкс 422,682 ₸/мес (15.6% от всех трат). Премиальная карта с 3% кешбэком вернет вам 133,397 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
8.0,Мадина,Премиальная карта,172825.82280000002,0.87,0.0,"Мадина, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 1,058,403 ₸, траты на люкс 753,654 ₸/мес (23.4% от всех трат). Премиальная карта с 3% кешбэком вернет вам 172,826 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
9.0,Арман,Премиальная карта,142274.9724,0.95,0.0,"Арман, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 3,084,180 ₸, траты на люкс 540,939 ₸/мес (19.2% от всех трат). Премиальная карта с 3% кешбэком вернет вам 142,275 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
10.0,Карина,Премиальная карта,148538.98619999998,0.94,0.0,"Карина, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 1,277,325 ₸, траты на люкс 529,594 ₸/мес (18.1% от всех трат). Премиальная карта с 3% кешбэком вернет вам 148,539 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
11.0,Бауржан,Премиальная карта,153464.14049999998,0.99,0.0,"Бауржан, наш ИИ определил вас как премиального клиента! Анализ показал: баланс 3,230,572 ₸, траты на люкс 649,008 ₸/мес (21.8% от всех трат). Премиальная карта с 3% кешбэком вернет вам 153,464 ₸/мес + бесплатные снятия. Станьте VIP-клиентом!"
